
gpt_175b_qkv_proj,mm,1,12288,36864,1
gpt_175b_attn_out,mm,1,12288,12288,1
gpt_175b_ffn_up,mm,1,12288,49152,1
gpt_175b_ffn_down,mm,1,49152,12288,1
gpt2_1.5b_qkv_proj,mm,1,1600,4800,1
gpt2_1.5b_attn_out,mm,1,1600,1600,1
gpt2_1.5b_ffn_up,mm,1,1600,6400,1
gpt2_1.5b_ffn_down,mm,1,6400,1600,1
gpt3_2.7b_qkv_proj,mm,1,2560,7680,1
gpt3_2.7b_attn_out,mm,1,2560,2560,1
gpt3_2.7b_ffn_up,mm,1,2560,10240,1
gpt3_2.7b_ffn_down,mm,1,10240,2560,1
gpt3_6.7b_qkv_proj,mm,1,4096,12288,1
gpt3_6.7b_attn_out,mm,1,4096,4096,1
gpt3_6.7b_ffn_up,mm,1,4096,16384,1
gpt3_6.7b_ffn_down,mm,1,16384,4096,1
gpt3_13b_qkv_proj,mm,1,5120,15360,1
gpt3_13b_attn_out,mm,1,5120,5120,1
gpt3_13b_ffn_up,mm,1,5120,20480,1
gpt3_13b_ffn_down,mm,1,20480,5120,1
llama1_7b_qkv_proj,mm,1,4096,12288,1
llama1_7b_attn_out,mm,1,4096,4096,1
llama1_7b_ffn_up,mm,1,4096,11008,1
llama1_7b_ffn_gate,mm,1,4096,11008,1
llama1_7b_ffn_down,mm,1,11008,4096,1
llama2_7b_qkv_proj,mm,1,4096,12288,1
llama2_7b_attn_out,mm,1,4096,4096,1
llama2_7b_ffn_up,mm,1,4096,11008,1
llama2_7b_ffn_gate,mm,1,4096,11008,1
llama2_7b_ffn_down,mm,1,11008,4096,1
