
q_gen,mm,1,1600,1600,1
k_gen,mm,1,1600,1600,1
v_gen,mm,1,1600,1600,1
q_emb_mul,elewise,1,25,1,64
q_emb_add,elewise,1,25,1,64
k_emb_mul,elewise,1,25,1,64
k_emb_add,elewise,1,25,1,64
qk,mm,1,1600,25,1
softmax,softmax,25,25,1,1
kv,mm,1,800,64,1
out_proj,mm,1,1600,1600,1
out_add,elewise,1600,1,1,1
out_rms_norm,elewise,1600,1,1,1
up,mm,1,1600,6400,1
up_add,elewise,6400,1,1,1
down,mm,1,6400,1600,1
down_add,elewise,1600,1,1,1
final_rms_norm,elewise,1600,1,1,1
final_proj,mm,1,1600,32000,1

